section,expected_count,url
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2015-179040
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-60580
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-104212
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2015-202363
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-39404
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2015-149169
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-35199
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-72805
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-36768
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2016-16753
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LESIV/avgjorelse/le-2015-102226
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2015-83824
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2015-105216
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LHSIV/avgjorelse/lh-2015-119650
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-29544-1
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2015-141003
DECISIONS FROM THE COURTS OF APPEAL,,https://lovdata.no/pro/#document/LBSIV/avgjorelse/lb-2014-111360
